timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727818305647,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-1,text,false,,875,0,1,1,null,0,0,0
1727818305649,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-1,text,false,,875,0,1,1,null,0,0,0
1727818306638,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-2,text,false,,875,0,2,2,null,0,0,0
1727818306639,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-2,text,false,,875,0,2,2,null,0,0,0
1727818307638,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,875,0,3,3,null,0,0,0
1727818307639,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,875,0,3,3,null,0,0,0
1727818306642,1228,Corporate,200,OK,Thread Group 1-2,text,true,,304026,270,3,3,https://www.simplilearn.com/corporate-training,192,0,140
1727818306642,199,Corporate-0,301,Moved Permanently,Thread Group 1-2,text,true,,587,135,3,3,http://www.simplilearn.com/corporate-training,192,0,140
1727818306844,1026,Corporate-1,200,OK,Thread Group 1-2,text,true,,303439,135,3,3,https://www.simplilearn.com/corporate-training,477,0,410
1727818307872,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-2,text,false,,875,0,3,3,null,0,0,0
1727818307874,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-2,text,false,,875,0,3,3,null,0,0,0
1727818308639,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-4,text,false,,875,0,4,4,null,0,0,0
1727818308640,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-4,text,false,,875,0,4,4,null,0,0,0
1727818307641,1065,Corporate,200,OK,Thread Group 1-3,text,true,,304026,270,4,4,https://www.simplilearn.com/corporate-training,228,0,135
1727818307641,228,Corporate-0,301,Moved Permanently,Thread Group 1-3,text,true,,587,135,4,4,http://www.simplilearn.com/corporate-training,228,0,135
1727818307872,834,Corporate-1,200,OK,Thread Group 1-3,text,true,,303439,135,4,4,https://www.simplilearn.com/corporate-training,220,0,86
1727818308707,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,875,0,4,4,null,0,0,0
1727818308708,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,875,0,4,4,null,0,0,0
1727818307876,903,Corporate,200,OK,Thread Group 1-2,text,true,,304025,270,4,4,https://www.simplilearn.com/corporate-training,15,0,0
1727818307876,15,Corporate-0,301,Moved Permanently,Thread Group 1-2,text,true,,587,135,4,4,http://www.simplilearn.com/corporate-training,15,0,0
1727818307892,887,Corporate-1,200,OK,Thread Group 1-2,text,true,,303438,135,4,4,https://www.simplilearn.com/corporate-training,58,0,0
1727818308780,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-2,text,false,,875,0,4,4,null,0,0,0
1727818308781,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-2,text,false,,875,0,4,4,null,0,0,0
1727818308708,628,Corporate,200,OK,Thread Group 1-3,text,true,,304025,270,4,4,https://www.simplilearn.com/corporate-training,57,0,0
1727818308708,57,Corporate-0,301,Moved Permanently,Thread Group 1-3,text,true,,587,135,4,4,http://www.simplilearn.com/corporate-training,57,0,0
1727818308765,571,Corporate-1,200,OK,Thread Group 1-3,text,true,,303438,135,4,4,https://www.simplilearn.com/corporate-training,44,0,0
1727818309337,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,875,0,4,4,null,0,0,0
1727818309337,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,875,0,4,4,null,0,0,0
1727818309637,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-5,text,false,,875,0,5,5,null,0,0,0
1727818309638,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-5,text,false,,875,0,5,5,null,0,0,0
1727818308782,953,Corporate,200,OK,Thread Group 1-2,text,true,,304025,270,5,5,https://www.simplilearn.com/corporate-training,53,0,0
1727818308782,53,Corporate-0,301,Moved Permanently,Thread Group 1-2,text,true,,587,135,5,5,http://www.simplilearn.com/corporate-training,53,0,0
1727818308835,900,Corporate-1,200,OK,Thread Group 1-2,text,true,,303438,135,5,5,https://www.simplilearn.com/corporate-training,92,0,0
1727818309737,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-2,text,false,,875,0,5,5,null,0,0,0
1727818309738,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-2,text,false,,875,0,5,5,null,0,0,0
1727818308644,1174,Corporate,200,OK,Thread Group 1-4,text,true,,304025,270,5,5,https://www.simplilearn.com/corporate-training,134,0,100
1727818308644,134,Corporate-0,301,Moved Permanently,Thread Group 1-4,text,true,,587,135,5,5,http://www.simplilearn.com/corporate-training,134,0,100
1727818308780,1038,Corporate-1,200,OK,Thread Group 1-4,text,true,,303438,135,5,5,https://www.simplilearn.com/corporate-training,276,0,140
1727818309819,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-4,text,false,,875,0,5,5,null,0,0,0
1727818309821,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-4,text,false,,875,0,5,5,null,0,0,0
1727818310641,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-6,text,false,,875,0,6,6,null,0,0,0
1727818310641,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-6,text,false,,875,0,6,6,null,0,0,0
1727818309822,1087,Corporate,200,OK,Thread Group 1-4,text,true,,304025,270,6,6,https://www.simplilearn.com/corporate-training,47,0,0
1727818309822,47,Corporate-0,301,Moved Permanently,Thread Group 1-4,text,true,,587,135,6,6,http://www.simplilearn.com/corporate-training,47,0,0
1727818309869,1040,Corporate-1,200,OK,Thread Group 1-4,text,true,,303438,135,6,6,https://www.simplilearn.com/corporate-training,86,0,0
1727818310910,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-4,text,false,,875,0,6,6,null,0,0,0
1727818310910,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-4,text,false,,875,0,6,6,null,0,0,0
1727818309338,2005,Corporate,200,OK,Thread Group 1-3,text,true,,304025,270,6,6,https://www.simplilearn.com/corporate-training,225,0,0
1727818309338,225,Corporate-0,301,Moved Permanently,Thread Group 1-3,text,true,,587,135,6,6,http://www.simplilearn.com/corporate-training,225,0,0
1727818309564,1779,Corporate-1,200,OK,Thread Group 1-3,text,true,,303438,135,6,6,https://www.simplilearn.com/corporate-training,258,0,0
1727818311344,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,875,0,6,6,null,0,0,0
1727818311346,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,875,0,6,6,null,0,0,0
